,Temperature,Humidity,GasLevels,TimeOfDay,FoodType,StorageDuration,Spoiled
0,33.82026173,76.00605202,90.55307638,Evening,Vegetable,27,Spoiled
1,27.00078604,69.86749732,92.02624299,Evening,Meat,22,NotSpoiled
2,29.89368992,71.74373049,115.6456122,Afternoon,Meat,17,NotSpoiled
3,36.204466,48.06316648,58.31999882,Afternoon,Fruit,14,Spoiled
4,34.33778995,68.22862617,76.29563705,Evening,Vegetable,20,Spoiled
5,20.1136106,61.09270817,128.0155529,Evening,Fruit,5,NotSpoiled
6,29.75044209,60.79373627,84.48472929,Afternoon,Meat,17,NotSpoiled
7,24.24321396,79.21934804,77.44836772,Morning,Vegetable,11,NotSpoiled
8,24.48390574,59.04328771,96.65503176,Evening,Fruit,7,NotSpoiled
9,27.05299251,59.07103394,85.03402878,Evening,Meat,22,NotSpoiled
10,25.72021786,66.68989397,105.8574146,Evening,Fruit,10,NotSpoiled
11,32.27136753,74.50288831,76.0733633,Morning,Vegetable,26,Spoiled
12,28.80518863,61.1598527,129.9820236,Afternoon,Fruit,21,NotSpoiled
13,25.60837508,82.34144036,73.78139586,Morning,Fruit,3,NotSpoiled
14,27.21931616,84.49847525,98.3210683,Morning,Fruit,4,NotSpoiled
15,26.66837164,61.18552934,101.1164163,Morning,Meat,28,NotSpoiled
16,32.47039537,67.54918244,104.9278395,Afternoon,Fruit,23,Spoiled
17,23.97420868,62.21324527,98.78786876,Afternoon,Meat,21,NotSpoiled
18,26.56533851,53.14617895,99.88441301,Morning,Meat,25,NotSpoiled
19,20.7295213,73.0301105,98.59995269,Morning,Fruit,18,NotSpoiled
20,12.23505092,77.33594868,126.1136704,Afternoon,Vegetable,2,NotSpoiled
21,28.26809298,90.11864263,97.49202489,Evening,Vegetable,4,NotSpoiled
22,29.32218099,61.02590496,119.2710641,Afternoon,Vegetable,25,NotSpoiled
23,21.2891749,83.36235091,85.35470344,Morning,Vegetable,7,NotSpoiled
24,36.34877312,83.42353691,99.95162417,Afternoon,Fruit,12,Spoiled
25,17.72817163,71.9785331,97.39659228,Morning,Fruit,11,NotSpoiled
26,25.22879259,76.0216349,120.0094204,Afternoon,Meat,4,NotSpoiled
27,24.06408075,78.73273048,88.26796225,Evening,Meat,25,NotSpoiled
28,32.66389607,89.74099948,86.16554927,Evening,Meat,26,Spoiled
29,32.34679385,74.77808563,96.87839171,Afternoon,Meat,18,Spoiled
30,25.77473713,69.39862114,99.57593226,Morning,Vegetable,8,NotSpoiled
31,26.8908126,61.33831201,57.95298849,Evening,Fruit,5,NotSpoiled
32,20.56107126,73.05320755,82.83038422,Morning,Vegetable,12,NotSpoiled
33,15.09601766,80.24164933,122.2034407,Evening,Vegetable,1,NotSpoiled
34,23.26043925,72.44610361,94.90852452,Afternoon,Meat,5,NotSpoiled
35,25.78174485,62.20076751,95.16748536,Afternoon,Meat,6,NotSpoiled
36,31.1514534,70.89076202,111.4049083,Evening,Vegetable,10,Spoiled
37,31.01189924,68.70846518,110.8107058,Afternoon,Meat,26,Spoiled
38,23.06336591,72.64738758,134.7855086,Afternoon,Vegetable,6,NotSpoiled
39,23.48848625,53.38151633,112.6248761,Afternoon,Meat,11,NotSpoiled
40,19.75723517,75.50788614,91.19430803,Evening,Meat,15,NotSpoiled
41,17.89991031,75.95423157,101.1007318,Morning,Meat,23,NotSpoiled
42,16.46864905,74.44853438,115.4820866,Morning,Fruit,7,NotSpoiled
43,34.75387698,69.96237183,119.2333779,Afternoon,Fruit,2,Spoiled
44,22.45173909,51.94063737,81.94752284,Morning,Meat,4,NotSpoiled
45,22.80962849,69.80677208,113.3956651,Morning,Vegetable,9,NotSpoiled
46,18.7360232,80.60714999,135.3426316,Morning,Vegetable,3,NotSpoiled
47,28.88745178,61.39871124,96.53158275,Evening,Fruit,24,NotSpoiled
48,16.93051076,50.10730534,100.2262052,Morning,Fruit,5,NotSpoiled
49,23.9362986,54.59442028,81.49074975,Morning,Fruit,29,NotSpoiled
50,20.52266719,73.14025692,78.76251968,Morning,Fruit,21,NotSpoiled
